"id","name","slug","brand","category","strain","thc","cbd","lab_test"
"4099","Kine Candy Banana Cream Pie","kine-candy-kine-candy-banana-cream-pie","Kine Candy","Edibles,Candy,","Chem Dawg (Chemdog)","15mg",,
"4100","Kine Candy Apple Cider","kine-candy-kine-candy-apple-cider","Kine Candy","Edibles,Candy,","Chem Dawg (Chemdog)","15mg",,
"4101","Chocolate Syrup 150mg","hazy-sundae-chocolate-syrup-150mg","Hazy Sundae","Edibles,Snack,","Chem Dawg (Chemdog)","150mg",,
"4102","Caramel Topping 150mg","hazy-sundae-caramel-topping-150mg","Hazy Sundae","Edibles,Snack,","Chem Dawg (Chemdog)","150mg",,
"4103","Gummy Cola Bottles - Sativa (300mg)","glowing-buddha-gummy-cola-bottles-sativa-300mg","Glowing Buddha","Edibles,Candy,","Chem Dawg (Chemdog)","300mg",,
"4104","Gummy Cola Bottles -  Indica (300mg)","glowing-buddha-gummy-cola-bottles-indica-300mg","Glowing Buddha","Edibles,Candy,","Chem Dawg (Chemdog)","300mg",,
"4105","Sour Watermelon Slices - Sativa (300mg)","glowing-buddha-sour-watermelon-slices-sativa-300mg","Glowing Buddha","Edibles,Candy,","Chem Dawg (Chemdog)","300mg",,
"4106","Sour Watermelon Slices -  Indica (100mg)","glowing-buddha-sour-watermelon-slices-indica-100mg","Glowing Buddha","Edibles,Candy,","Chem Dawg (Chemdog)","100mg",,
"4107","Sour Watermelon Slices - Indica (300mg)","glowing-buddha-sour-watermelon-slices-indica-300mg","Glowing Buddha","Edibles,Candy,","Chem Dawg (Chemdog)","300mg",,
"4108","Sour Watermelon Slices - Sativa (100mg)","glowing-buddha-sour-watermelon-slices-sativa-100mg","Glowing Buddha","Edibles,Candy,","Chem Dawg (Chemdog)","100mg",,
"4109","Gummy Cola Bottles - Sativa (100mg)","glowing-buddha-gummy-cola-bottles-sativa-100mg","Glowing Buddha","Edibles,Candy,","Chem Dawg (Chemdog)","100mg",,
"4110","Gummy Cola Bottles - Indica (100mg)","glowing-buddha-gummy-cola-bottles-indica-100mg","Glowing Buddha","Edibles,Candy,","Chem Dawg (Chemdog)","100mg",,
"4111","Sweet Hibiscus Caramel (4 x 25mg)","choose-love-sweet-hibiscus-caramel-4-x-25mg","Choose Love","Edibles,Candy,","Chem Dawg (Chemdog)","100mg",,
"4112","Small CBD Coconut Oil Tincture (1oz size) 20:1 Ratio","wunder-fruit-foods-small-cbd-coconut-oil-tincture-1oz-size-20-1-ratio","Wunder Fruit Foods","Tincture,","Chem Dawg (Chemdog)","10mg","90mg",
"4113","ACDC Tincture - Glycerin Base ","lost-coast-original-grannies-acdc-tincture-glycerin-base","Lost Coast Original Grannies","Tincture,","Chem Dawg (Chemdog)",,,
"4114","ACDC Tincture - Alcohol Base","lost-coast-original-grannies-acdc-tincture-alcohol-base","Lost Coast Original Grannies","Tincture,","Chem Dawg (Chemdog)",,,
"4115","Healing Hemp Oil Capsules","headstash-extracts-707-healing-hemp-oil-capsules","Headstash Extracts 707","Edibles,Pill","Chem Dawg (Chemdog)","70mg",,
"4116","Root Beer Drop","morsel-bakery-root-beer-drop","Morsel Bakery","Edibles,Candy,","Chem Dawg (Chemdog)","60mg",,
"4117","Lift Bar 180mg","native-seed-creations-lift-bar-180mg","Native Seed Creations","Edibles,Snack,","Chem Dawg (Chemdog)","180mg",,
"4118","Lemon Drop","morsel-bakery-lemon-drop","Morsel Bakery","Edibles,Candy,","Chem Dawg (Chemdog)","60mg",,
"4119","Cosmic Caramels - Salted Pecan","cannabis-kitchen-cosmic-caramels-salted-pecan","Cannabis Kitchen","Edibles,Candy,","Chem Dawg (Chemdog)",,,
"4120","Cosmic Caramels - Chocolate","cannabis-kitchen-cosmic-caramels-chocolate","Cannabis Kitchen","Edibles,Candy,","Chem Dawg (Chemdog)",,,
"4121","Grape Gummy","morsel-bakery-grape-gummy","Morsel Bakery","Edibles,Candy,","Chem Dawg (Chemdog)","60mg",,
"4122","Strawberry Gummy","morsel-bakery-strawberry-gummy","Morsel Bakery","Edibles,Candy,","Chem Dawg (Chemdog)","60mg",,
"4123","Fruit leather","clarity-fruit-leather","Clarity","Edibles,Snack,","Chem Dawg (Chemdog)","80mg",,
"4124","Milk Chocolate Medallion - Indica","delta-11-milk-chocolate-medallion-indica","Delta 11","Edibles,Chocolate,","Chem Dawg (Chemdog)","40mg",,
"4125","White Chocolate Chip Brownie - Sativa","delta-11-white-chocolate-chip-brownie-sativa","Delta 11","Edibles,","Chem Dawg (Chemdog)","30mg",,
"4126","White Chocolate Chip Brownie - Indica","delta-11-white-chocolate-chip-brownie-indica","Delta 11","Edibles,","Chem Dawg (Chemdog)","30mg",,
"4127","High CBD Healing Tincture (Non-Psychoactive) .5oz","bhutan-high-cbd-healing-tincture-non-psychoactive-5oz","Bhutan","Tincture,","Chem Dawg (Chemdog)",,"225mg",
"4128","Nternal Elixir 4oz","better-brands-nternal-elixir-4oz","Better Brands","Tincture,","Chem Dawg (Chemdog)",,,
"4129","Chocolate Cereal Treat","morsel-bakery-chocolate-cereal-treat","Morsel Bakery","Edibles,Snack,","Chem Dawg (Chemdog)","80mg",,
"4130","Fruity Cereal Treat","morsel-bakery-fruity-cereal-treat","Morsel Bakery","Edibles,Snack,","Chem Dawg (Chemdog)","80mg",,
"4131","Qu-oobs Sativa Tangerine","jolly-meds-qu-oobs-sativa-tangerine","Jolly Meds","Edibles,Candy,","Chem Dawg (Chemdog)","60mg","6mg",
"4132","Qu-oobs Indica Tangerine","jolly-meds-qu-oobs-indica-tangerine","Jolly Meds","Edibles,Candy,","Chem Dawg (Chemdog)","60mg","6mg",
"4133","Qu-oobs Sativa Ginger","jolly-meds-qu-oobs-sativa-ginger","Jolly Meds","Edibles,Candy,","Chem Dawg (Chemdog)","60mg","6mg",
"4134","Qu-oobs Indica Ginger","jolly-meds-qu-oobs-indica-ginger","Jolly Meds","Edibles,Candy,","Chem Dawg (Chemdog)","60mg","6mg",
"4135","Qu-oobs Sativa Strawberry","jolly-meds-qu-oobs-sativa-strawberry","Jolly Meds","Edibles,Candy,","Chem Dawg (Chemdog)","60mg","6mg",
"4136","Qu-oobs Indica Strawberry","jolly-meds-qu-oobs-indica-strawberry","Jolly Meds","Edibles,Candy,","Chem Dawg (Chemdog)","60mg","6mg",
"4137","Slo-Pop Green Apple","jolly-meds-slo-pop-green-apple","Jolly Meds","Edibles,Candy,","Chem Dawg (Chemdog)","60mg","6mg",
"4138","Slo-Pop Cherry","jolly-meds-slo-pop-cherry","Jolly Meds","Edibles,Candy,","Chem Dawg (Chemdog)","60mg","6mg",
"4139","Slo-Pop Pineapple","jolly-meds-slo-pop-pineapple","Jolly Meds","Edibles,Candy,","Chem Dawg (Chemdog)","60mg","6mg",
"4140","Slo-Pop Raspberry","jolly-meds-slo-pop-raspberry","Jolly Meds","Edibles,Candy,","Chem Dawg (Chemdog)","60mg","6mg",
"4141","Jolly-Lolly Green Apple","jolly-meds-jolly-lolly-green-apple","Jolly Meds","Edibles,Candy,","Chem Dawg (Chemdog)","60mg","6mg",
"4142","Jolly-Lolly Cherry","jolly-meds-jolly-lolly-cherry","Jolly Meds","Edibles,Candy,","Chem Dawg (Chemdog)","60mg","6mg",
"4143","Jolly-Lolly Pineapple","jolly-meds-jolly-lolly-pineapple","Jolly Meds","Edibles,Candy,","Chem Dawg (Chemdog)","60mg","6mg",
"4144","Jolly-Lolly Raspberry","jolly-meds-jolly-lolly-raspberry","Jolly Meds","Edibles,Candy,","Chem Dawg (Chemdog)","60mg","6mg",
"4145","CBD-OOS Tangerine","jolly-meds-cbd-oos-tangerine","Jolly Meds","Edibles,Candy,","Chem Dawg (Chemdog)","3mg","30mg",
"4146","CBD-OOS Ginger","jolly-meds-cbd-oos-ginger","Jolly Meds","Edibles,Candy,","Chem Dawg (Chemdog)","3mg","30mg",
"4147","CBD-OOS Strawberry","jolly-meds-cbd-oos-strawberry","Jolly Meds","Edibles,Candy,","Chem Dawg (Chemdog)","3mg","30mg",
"4148","Good-Ez Indica","jolly-meds-good-ez-indica","Jolly Meds","Edibles,Candy,","Chem Dawg (Chemdog)","60mg","6mg",
"4149","Good-Ez Sativa","jolly-meds-good-ez-sativa","Jolly Meds","Edibles,Candy,","Chem Dawg (Chemdog)","60mg","6mg",
"4150","Good-Ez CBD","jolly-meds-good-ez-cbd","Jolly Meds","Edibles,Candy,","Chem Dawg (Chemdog)","3mg","30mg",
"4151","Canni-Soothes Indica Honey Lemon","jolly-meds-canni-soothes-indica-honey-lemon","Jolly Meds","Edibles,Candy,","Chem Dawg (Chemdog)","60mg","6mg",
"4152","Canni-Soothes Indica Cherry","jolly-meds-canni-soothes-indica-cherry","Jolly Meds","Edibles,Candy,","Chem Dawg (Chemdog)","60mg","6mg",
"4153","Canni-Soothes Sativa Honey Lemon","jolly-meds-canni-soothes-sativa-honey-lemon","Jolly Meds","Edibles,Candy,","Chem Dawg (Chemdog)","60mg","6mg",
"4154","Canni-Soothes Sativa Cherry","jolly-meds-canni-soothes-sativa-cherry","Jolly Meds","Edibles,Candy,","Chem Dawg (Chemdog)","60mg","6mg","https://www.cannabisreports.com/lab-tests/d/dde6a47c48644f7b1d9ea69c25d81d469f46d669.pdf"
"4155","Fruit Punch - Sativa (100mg)","glowing-buddha-fruit-punch-sativa-100mg","Glowing Buddha","Edibles,Drink,","Chem Dawg (Chemdog)","100mg",,
"4156","Fruit Punch - Indica (100mg)","glowing-buddha-fruit-punch-indica-100mg","Glowing Buddha","Edibles,Drink,","Chem Dawg (Chemdog)","100mg",,
"4157","CBD Hash Caps 20mg - 2 pack","hashman-infused-cbd-hash-caps-20mg-2-pack","Hashman Infused","Edibles,Pill","Chem Dawg (Chemdog)","20mg","20mg","https://www.cannabisreports.com/lab-tests/4/4049a3df4d27ffe5dc4b44b37f19b0a8fb4b66fe.pdf"
"4158","Sweetzza The Brownie","weeza-sweetzza-the-brownie","Weeza","Edibles,","Chem Dawg (Chemdog)","140mg",,
"4159","Sweetzza The Carrot Cake","weeza-sweetzza-the-carrot-cake","Weeza","Edibles,","Chem Dawg (Chemdog)","140mg",,
"4160","Sweetzza The Smores Cookies","weeza-sweetzza-the-smores-cookies","Weeza","Edibles,","Chem Dawg (Chemdog)","140mg",,
"4161","Pepperoni Pizza","weeza-pepperoni-pizza","Weeza","Edibles,Snack,","Chem Dawg (Chemdog)","200mg",,
"4162","Cheese Pizza","weeza-cheese-pizza","Weeza","Edibles,Snack,","Chem Dawg (Chemdog)","200mg",,
"4163","Buffalo Chicken Pizza","weeza-buffalo-chicken-pizza","Weeza","Edibles,Snack,","Chem Dawg (Chemdog)","200mg",,
"4164","Canna Stroop Waffle - 500mg","edible-ideas-canna-stroop-waffle-500mg","Edible Ideas","Edibles,Snack,","Chem Dawg (Chemdog)","500mg",,
"4165","Canna Stroop Waffle - 160mg","edible-ideas-canna-stroop-waffle-160mg","Edible Ideas","Edibles,Snack,","Chem Dawg (Chemdog)","160mg",,
"4166","Meta-Milk Indica","meta-milk-meta-milk-indica","Meta Milk","Edibles,Drink,","Chem Dawg (Chemdog)","100mg",,
"4167","Gummies","bully-boy-cannabis-gummies","Bully Boy Cannabis","Edibles,Candy,","Chem Dawg (Chemdog)",,,
"4168","Butter","bully-boy-cannabis-butter","Bully Boy Cannabis",,"Chem Dawg (Chemdog)",,,
"4169","Brownies","bully-boy-cannabis-brownies","Bully Boy Cannabis","Edibles,","Chem Dawg (Chemdog)",,,
"4170","Kicken Krispy","bully-boy-cannabis-kicken-krispy","Bully Boy Cannabis","Edibles,Snack,","Chem Dawg (Chemdog)",,,
"4171","Chronic Candy Bar","ganja-goodies-chronic-candy-bar","Ganja Goodies","Edibles,Candy,","Chem Dawg (Chemdog)","1,200mg",,
"4172","420K Bar","ganja-goodies-420k-bar","Ganja Goodies","Edibles,Candy,","Chem Dawg (Chemdog)","1,200mg",,
"4173","Paycheck Bar","ganja-goodies-paycheck-bar","Ganja Goodies","Edibles,Candy,","Chem Dawg (Chemdog)","1,200mg",,
"4174","Snackers Bar","ganja-goodies-snackers-bar","Ganja Goodies","Edibles,Candy,","Chem Dawg (Chemdog)","1,200mg",,
"4175","Woopie Pie","ganja-goodies-woopie-pie","Ganja Goodies","Edibles,","Chem Dawg (Chemdog)","1,200mg",,
"4176","Sea Salt Caramels","ganja-goodies-sea-salt-caramels","Ganja Goodies","Edibles,Candy,","Chem Dawg (Chemdog)","1,200mg",,
"4177","Cinna-Bomb Bun","ganja-goodies-cinna-bomb-bun","Ganja Goodies","Edibles,","Chem Dawg (Chemdog)",,,
"4178","White Chocolate Ganja Bar","ganja-goodies-white-chocolate-ganja-bar","Ganja Goodies","Edibles,Chocolate,","Chem Dawg (Chemdog)",,,
"4179","Marshmallows - Creme Brulee (520mg)","mother-nature-marshmallows-creme-brulee-520mg","Mother Nature","Edibles,Snack,","Chem Dawg (Chemdog)","510mg","10mg",
"4180","Marshmallows - Raspberry Creme (1040mg)","mother-nature-marshmallows-raspberry-creme-1040mg","Mother Nature","Edibles,Snack,","Chem Dawg (Chemdog)","1,020mg","20mg",
"4181","Marshmallows - Toasted Coconut (1040mg)","mother-nature-marshmallows-toasted-coconut-1040mg","Mother Nature","Edibles,Snack,","Chem Dawg (Chemdog)","1,020mg","20mg",
"4182","Marshmallows - Blueberry (1040mg)","mother-nature-marshmallows-blueberry-1040mg","Mother Nature","Edibles,Snack,","Chem Dawg (Chemdog)","1,020mg","20mg",
"4183","Marshmallows - Creme Brulee (1040mg)","mother-nature-marshmallows-creme-brulee-1040mg","Mother Nature","Edibles,Snack,","Chem Dawg (Chemdog)","1,020mg","20mg",
"4184","Raw Honey","sunset-tea-honey-co-raw-honey","Sunset Tea & Honey Co.",,"Chem Dawg (Chemdog)",,,
"4185","Chocolate Hemisphere","trokie-chocolate-hemisphere","Trokie","Edibles,Chocolate,","Chem Dawg (Chemdog)","1,000mg",,
"4186","Canna Hemi Almond and Coconut","edible-ideas-canna-hemi-almond-and-coconut","Edible Ideas","Edibles,Chocolate,","Chem Dawg (Chemdog)","60mg",,
"4187","Canna Hemi Raspberry","edible-ideas-canna-hemi-raspberry","Edible Ideas","Edibles,Chocolate,","Chem Dawg (Chemdog)","60mg",,
"4188","Canna Hemi Original Chocolate","edible-ideas-canna-hemi-original-chocolate","Edible Ideas","Edibles,Chocolate,","Chem Dawg (Chemdog)","60mg",,
"4189","Mayan Chocolate Patties","unforgettable-edibles-baked-mayan-chocolate-patties","Unforgettable Edibles / Baked!","Edibles,Chocolate,","Chem Dawg (Chemdog)","60mg",,
"4190","Blue Agave Organic Hemp Seed Extract","nectar-leaf-blue-agave-organic-hemp-seed-extract","Nectar Leaf","Tincture,","Chem Dawg (Chemdog)",,"100mg",
"4191","Honey Organic Hemp Seed Extract","nectar-leaf-honey-organic-hemp-seed-extract","Nectar Leaf","Tincture,","Chem Dawg (Chemdog)",,"100mg",
"4192","Unflavored Organic Hemp Seed Extract","nectar-leaf-unflavored-organic-hemp-seed-extract","Nectar Leaf","Tincture,","Chem Dawg (Chemdog)",,"100mg",
"4193","Watermelon Micros - Hybrid - 250mg","stokes-confections-watermelon-micros-hybrid-250mg","Stokes Confections","Edibles,Pill","Chem Dawg (Chemdog)","250mg",,
"4194","Moon Rocks","medizen-edibles-moon-rocks","Medizen Edibles","Edibles,Candy,","Chem Dawg (Chemdog)",,,
"4195","Dark Chocolate Honeycomb Crumble Bark","the-green-heart-dark-chocolate-honeycomb-crumble-bark","The Green Heart","Edibles,Chocolate,","Chem Dawg (Chemdog)",,,
"4196","Beef Jerky - Peppered Teriyaki","green-crew-farms-beef-jerky-peppered-teriyaki","Green Crew Farms",,"Chem Dawg (Chemdog)",,,
"4197","Sucker Punch - Sour Green Apple","green-crew-farms-sucker-punch-sour-green-apple","Green Crew Farms","Edibles,Candy,","Chem Dawg (Chemdog)",,,
"4198","Sucker Punch - Cherry Chill","green-crew-farms-sucker-punch-cherry-chill","Green Crew Farms","Edibles,Candy,","Chem Dawg (Chemdog)",,,
"4199","Sucker Punch - Blue Razzberry","green-crew-farms-sucker-punch-blue-razzberry","Green Crew Farms","Edibles,Candy,","Chem Dawg (Chemdog)",,,
"4200","Sucker Punch - Root Beer","green-crew-farms-sucker-punch-root-beer","Green Crew Farms","Edibles,Candy,","Chem Dawg (Chemdog)",,,
"4201","Loaded Almond Brittle","green-crew-farms-loaded-almond-brittle","Green Crew Farms","Edibles,Candy,","Chem Dawg (Chemdog)",,,
"4202","Loaded Peanut Brittle","green-crew-farms-loaded-peanut-brittle","Green Crew Farms","Edibles,Candy,","Chem Dawg (Chemdog)",,,
"4203","Cookie Butter","magnolia-cookie-butter","Magnolia",,"Chem Dawg (Chemdog)","50mg",,
"4204","Watermelon Micros - Hybrid - 100mg","stokes-confections-watermelon-micros-hybrid-100mg","Stokes Confections","Edibles,Pill","Chem Dawg (Chemdog)","100mg",,
"4205","Honey Lemon Ginger Micros - Indica - 250mg","stokes-confections-honey-lemon-ginger-micros-indica-250mg","Stokes Confections","Edibles,Pill","Chem Dawg (Chemdog)","250mg",,
"4206","Honey Lemon Ginger Micros - Indica - 100mg","stokes-confections-honey-lemon-ginger-micros-indica-100mg","Stokes Confections","Edibles,Pill","Chem Dawg (Chemdog)","100mg",,
"4207","Mint Micros - Sativa - 250mg","stokes-confections-mint-micros-sativa-250mg","Stokes Confections","Edibles,Pill","Chem Dawg (Chemdog)","250mg",,
"4208","Mint Micros - Sativa - 100mg","stokes-confections-mint-micros-sativa-100mg","Stokes Confections","Edibles,Pill","Chem Dawg (Chemdog)","100mg",,
"4209","Milk Chocolate Caramel Truffle - 3 pk","stokes-confections-milk-chocolate-caramel-truffle-3-pk","Stokes Confections","Edibles,Chocolate,","Chem Dawg (Chemdog)","60mg",,
"4210","Milk Chocolate Peanut Butter Truffle - 3 pk","stokes-confections-milk-chocolate-peanut-butter-truffle-3-pk","Stokes Confections","Edibles,Chocolate,","Chem Dawg (Chemdog)","60mg",,
"4211","Milk Chocolate Peanut Butter Truffle","stokes-confections-milk-chocolate-peanut-butter-truffle","Stokes Confections","Edibles,Chocolate,","Chem Dawg (Chemdog)","20mg",,
"4212","Chocolate Chip Protein Bar","pura-vida-chocolate-chip-protein-bar","Pura Vida","Edibles,Snack,","Chem Dawg (Chemdog)","100mg",,
"4213","Coconut Vanilla Protein Bar","pura-vida-coconut-vanilla-protein-bar","Pura Vida","Edibles,Snack,","Chem Dawg (Chemdog)","100mg",,
"4214","50mg Pure CBD Lozenge","trokie-50mg-pure-cbd-lozenge","Trokie",,"Chem Dawg (Chemdog)",,"50mg",
"4215","160mg CBD/THC Troche","trokie-160mg-cbd-thc-troche","Trokie",,"Chem Dawg (Chemdog)","80mg","80mg",
"4216","40mg CBD/THC Troche","trokie-40mg-cbd-thc-troche","Trokie",,"Chem Dawg (Chemdog)","20mg","20mg",
"4217","Orange Ginger Mint Troche 120mg","trokie-orange-ginger-mint-troche-120mg","Trokie",,"Chem Dawg (Chemdog)","120mg","8mg",
"4218","Refreshing Citrus Troche 120mg","trokie-refreshing-citrus-troche-120mg","Trokie",,"Chem Dawg (Chemdog)","120mg","8mg",
"4219","Crisp Mint Troche 120mg","trokie-crisp-mint-troche-120mg","Trokie",,"Chem Dawg (Chemdog)","120mg","8mg",
"4220","Orange Ginger Mint Troche 60mg","trokie-orange-ginger-mint-troche-60mg","Trokie",,"Chem Dawg (Chemdog)","60mg","4mg",
"4221","Refreshing Citrus Troche 60mg","trokie-refreshing-citrus-troche-60mg","Trokie",,"Chem Dawg (Chemdog)","60mg","4mg",
"4222","200mg ""Day Time"" Tincture","wunder-fruit-foods-200mg-day-time-tincture","Wunder Fruit Foods","Tincture,","Chem Dawg (Chemdog)","200mg",,
"4223","100mg ""Day Time"" Tincture","wunder-fruit-foods-100mg-day-time-tincture","Wunder Fruit Foods","Tincture,","Chem Dawg (Chemdog)","100mg",,
"4224","200mg ""Night Time"" Tincture","wunder-fruit-foods-200mg-night-time-tincture","Wunder Fruit Foods","Tincture,","Chem Dawg (Chemdog)","200mg",,
"4225","100mg ""Night Time"" Tincture","wunder-fruit-foods-100mg-night-time-tincture","Wunder Fruit Foods","Tincture,","Chem Dawg (Chemdog)","100mg",,
"4226","Small CBD 1:1 Tincture","wunder-fruit-foods-small-cbd-1-1-tincture","Wunder Fruit Foods","Tincture,","Chem Dawg (Chemdog)","43.75mg","43.75mg",
"4227","Large CBD 1:1 Tincture","wunder-fruit-foods-large-cbd-1-1-tincture","Wunder Fruit Foods","Tincture,","Chem Dawg (Chemdog)","87.50mg","87.50mg",
"4228","Chocolate Brownie 200mg Hybrid","the-baykery-chocolate-brownie-200mg-hybrid","The Baykery","Edibles,","Chem Dawg (Chemdog)","200mg",,
"4229","Chocolate Brownie 200mg Sativa","the-baykery-chocolate-brownie-200mg-sativa","The Baykery","Edibles,","Chem Dawg (Chemdog)","200mg",,
"4230","Chocolate Brownie 200mg Indica","the-baykery-chocolate-brownie-200mg-indica","The Baykery","Edibles,","Chem Dawg (Chemdog)","200mg",,
"4231","Animal Cookie","kush-kakery-kush-cake-pops-animal-cookie","Kush Kakery (Kush Cake Pops)","Edibles,","Animal Cookies","111mg",,
"4232","Pineapple Express","kush-kakery-kush-cake-pops-pineapple-express","Kush Kakery (Kush Cake Pops)","Edibles,","Pineapple Express",,,
"4233","Hashie Mash 8oz (300mg)","the-pacific-salsa-company-hashie-mash-8oz-300mg","The Pacific Salsa Company",,"Pineapple Express","300mg",,
"4234","Jamberry Sauce - O.G. - 180mg","the-pacific-salsa-company-jamberry-sauce-o-g-180mg","The Pacific Salsa Company",,"Pineapple Express","180mg",,
"4235","Shmild Salsa 4oz (75mg)","the-pacific-salsa-company-shmild-salsa-4oz-75mg","The Pacific Salsa Company",,"Pineapple Express","75mg",,
"4236","Shmild Salsa 16oz (500mg)","the-pacific-salsa-company-shmild-salsa-16oz-500mg","The Pacific Salsa Company",,"Pineapple Express","500mg",,
"4237","Hashie Mash 4oz (150mg)","the-pacific-salsa-company-hashie-mash-4oz-150mg","The Pacific Salsa Company",,"Pineapple Express","150mg",,
"4238","Jamberry Sauce - O.G. - 500mg","the-pacific-salsa-company-jamberry-sauce-o-g-500mg","The Pacific Salsa Company",,"Pineapple Express","500mg",,
"4239","Jamberry Sauce - O.G. - 75mg","the-pacific-salsa-company-jamberry-sauce-o-g-75mg","The Pacific Salsa Company",,"Pineapple Express","75mg",,
"4240","Caps - 2 pack","the-higher-cloud-caps-2-pack","The Higher Cloud","Edibles,Pill","Pineapple Express",,,
"4241","Thin Mint Tincture","doc-apollo-thin-mint-tincture","Doc Apollo","Tincture,","Thin Mint",,,
"4242","Wonder Tonic Tincture - Spiced","doc-apollo-wonder-tonic-tincture-spiced","Doc Apollo","Tincture,","Thin Mint",,,
"4243","High CBD Healing Tincture (Non-Psychoactive) 1oz","bhutan-high-cbd-healing-tincture-non-psychoactive-1oz","Bhutan","Tincture,","Thin Mint",,"450mg",
"4244","Caramel Corn","the-nutty-baker-caramel-corn","The Nutty Baker","Edibles,Snack,","Thin Mint","150mg",,
"4245","Half & Half Bar","the-nutty-baker-half-half-bar","The Nutty Baker","Edibles,","Thin Mint","170mg",,
"4246","Chocolate Covered Caramels","the-nutty-baker-chocolate-covered-caramels","The Nutty Baker","Edibles,Snack,","Thin Mint","60mg",,
"4247","Crispy Caramel Roll","the-nutty-baker-crispy-caramel-roll","The Nutty Baker","Edibles,Snack,","Thin Mint",,,
"4248","Brownie","the-nutty-baker-brownie","The Nutty Baker","Edibles,","Thin Mint","100mg",,
"4249","Yummy Gummy - 200mg Wild Cherry","rumpelstiltskin-extracts-rump-wax-yummy-gummy-200mg-wild-cherry","Rumpelstiltskin Extracts (Rump Wax)","Edibles,Candy,","Thin Mint","200mg",,
"4250","Yummy Gummy - 200mg Strawberry","rumpelstiltskin-extracts-rump-wax-yummy-gummy-200mg-strawberry","Rumpelstiltskin Extracts (Rump Wax)","Edibles,Candy,","Thin Mint","200mg",,
"4251","Sprite - 100mg Orange","rumpelstiltskin-extracts-rump-wax-sprite-100mg-orange","Rumpelstiltskin Extracts (Rump Wax)","Edibles,Candy,","Thin Mint","100mg",,
"4252","Yummy Gummy - 200mg Watermelon","rumpelstiltskin-extracts-rump-wax-yummy-gummy-200mg-watermelon","Rumpelstiltskin Extracts (Rump Wax)","Edibles,Candy,","Thin Mint","200mg",,
"4253","THC Syrup - Lemon Lime (750mg)","qualitech-thc-syrup-lemon-lime-750mg","Qualitech",,"Thin Mint","750mg",,
"4254","Cookie Monster - 180mg Indica","baked-cookie-monster-180mg-indica","Baked","Edibles,Chocolate,","Thin Mint","180mg",,
"4255","The Golden Gate - 420mg Sativa","baked-the-golden-gate-420mg-sativa","Baked","Edibles,Chocolate,","Thin Mint","420mg",,
"4256","The Golden Gate - 420mg Indica","baked-the-golden-gate-420mg-indica","Baked","Edibles,Chocolate,","Thin Mint","420mg",,
"4257","Cookie Monster - 180mg Sativa","baked-cookie-monster-180mg-sativa","Baked","Edibles,Chocolate,","Thin Mint","180mg",,
"4258","Cookie Monster - 420mg Indica","baked-cookie-monster-420mg-indica","Baked","Edibles,Chocolate,","Thin Mint","420mg",,
"4259","Cookie Monster - 420mg Sativa","baked-cookie-monster-420mg-sativa","Baked","Edibles,Chocolate,","Thin Mint","420mg",,
"4260","Cookie Monster - 1260mg Sativa","baked-cookie-monster-1260mg-sativa","Baked","Edibles,Chocolate,","Thin Mint","1,260mg",,
"4261","The Golden Gate - 1260mg Sativa","baked-the-golden-gate-1260mg-sativa","Baked","Edibles,Chocolate,","Thin Mint","1,260mg",,
"4262","White Chocolate Bar","hi-fi-white-chocolate-bar","HI FI","Edibles,Chocolate,","Thin Mint","200mg",,
"4263","Platinum OG Lemon Iced Tea","kushtown-platinum-og-lemon-iced-tea","Kushtown","Edibles,Drink,","Platinum OG Kush",,,
"4264","Moon Rock Punch","kushtown-moon-rock-punch","Kushtown","Edibles,Drink,","Blue Moon Rocks (B.M.R.)",,,
"4265","Maui Waui Punch","kushtown-maui-waui-punch","Kushtown","Edibles,Drink,","Maui Waui (Wowie)",,,
"4266","Aqua Kush - Medicated Water","kushtown-aqua-kush-medicated-water","Kushtown","Edibles,Drink,","OG Kush",,,
"4267","Sour Patch Zombies - Indica (300mg)","glowing-buddha-sour-patch-zombies-indica-300mg","Glowing Buddha","Edibles,Candy,","Jack Herer","300mg",,
"4268","Gummy Bears - Sativa (300mg)","glowing-buddha-gummy-bears-sativa-300mg","Glowing Buddha","Edibles,Candy,","Jack Herer","300mg",,
"4269","Gummy Bears - Indica (300mg)","glowing-buddha-gummy-bears-indica-300mg","Glowing Buddha","Edibles,Candy,","Jack Herer","300mg",,
"4270","Fresh Mint CBD Gum Extra Strength","bhang-fresh-mint-cbd-gum-extra-strength","Bhang","Edibles,Candy,","Jack Herer",,"100mg",
"4271","Canna Hemi Mocha","edible-ideas-canna-hemi-mocha","Edible Ideas","Edibles,Chocolate,","Jack Herer","60mg",,
"4272","Canna Hemi Peanut Butter","edible-ideas-canna-hemi-peanut-butter","Edible Ideas","Edibles,Chocolate,","Jack Herer","60mg",,
"4273","Honey Mustard Pretzels (420mg) - Hybrid","baked-honey-mustard-pretzels-420mg-hybrid","Baked","Edibles,Snack,","Jack Herer","420mg",,
"4274","Honey Mustard Pretzels (420mg) - Sativa","baked-honey-mustard-pretzels-420mg-sativa","Baked","Edibles,Snack,","Jack Herer","420mg",,
"4275","Honey Mustard Pretzels (420mg) - Indica","baked-honey-mustard-pretzels-420mg-indica","Baked","Edibles,Snack,","Jack Herer","420mg",,
"4276","Canna-Doo Fruit Tang - CBD","jolly-meds-canna-doo-fruit-tang-cbd","Jolly Meds",,"Jack Herer","15mg","200mg",
