"id","name","slug","location","category","instagram"
"415","Derby Bakery","derby-bakery"," CA","Edibles, ",
"416","Deschutes Growery","deschutes-growery"," OR","Flower, ",
"417","Detroit Fudge Company","detroit-fudge-company"," MI",,
"418","Deviant Dabs","deviant-dabs"," CA","Concentrates, ",
"419","DHO Co.","dho-co"," CA","Vapes, ",
"420","Diablo Xtracts","diablo-xtracts"," CA","Concentrates, ",
"421","Diamond Concentrates (CANADA)","diamond-concentrates-canada"," AB","Concentrates, Vape Pens, ",
"422","Dicot Farms","dicot-farms"," AZ","Flower, ",
"423","Dinafem Seeds (SPAIN)","dinafem-seeds-spain"," AZ","Flower, ",
"424","Dirty Arm Farm","dirty-arm-farm"," OR","Concentrates, Edibles, ",
"425","District Edibles","district-edibles"," CO","Edibles, ",
"426","Dixie Elixirs & Edibles","dixie-elixirs-edibles"," Colorado","Edibles, Medical, ",
"427","DJ Short Seeds","dj-short-seeds"," Colorado","Flower, ",
"428","DNA Genetics (NETHERLANDS)","dna-genetics-netherlands"," CA","Flower, Apparel, ",
"429","DNG Medicated","dng-medicated"," CA","Concentrates, Edibles, ",
"430","Doc & Yeti Urban Farms","doc-yeti-urban-farms"," WA","Flower, Vape Pens, ",
"431","Doc Holidaze","doc-holidaze"," WA","Vapes, Medical, ",
"432","Doctor Terpene","doctor-terpene"," WA","Edibles, ",
"433","DomPen","dompen"," CA","Vapes, ",
"434","Donkey Shrub LLC","donkey-shrub-llc"," MI",,
"435","Dopamine Seeds (SPAIN)","dopamine-seeds-spain"," MI",,
"436","Dose Oil","dose-oil"," MI",,
"437","Double Dutch Farms","double-dutch-farms"," WA","Flower, ",
"438","Down to Dab Extracts","down-to-dab-extracts"," Ca","Concentrates, Vape Pens, Medical, ",
"439","Dr Seeds (CANADA)","dr-seeds-canada"," Ca","Flower, ",
"440","Dr. Blaze","dr-blaze"," Ca","Flower, ",
"441","Dr. OGX","dr-ogx"," Ca",,
"442","Dr. Raw Organics","dr-raw-organics"," CA","Edibles, Medical, ",
"443","Dr. Sluggworth","dr-sluggworth"," CA","Flower, Concentrates, Vape Pens, Medical, ",
"444","Dr. Stash","dr-stash"," CA","Medical, ",
"445","Dr. Zodiaks Moonrock","dr-zodiaks-moonrock"," CA","Flower, Edibles, ",
"446","Dragon Elixir (CANADA)","dragon-elixir-canada"," ON",,
"447","Dream City Cannabis","dream-city-cannabis"," WA","Flower, ",
"448","Dream Steam","dream-steam"," AZ","Concentrates, ",
"449","Drift","drift"," AZ","Edibles, ",
"450","Dro-tein","dro-tein"," AZ","Edibles, ",
"451","Duke Seeds Bank (SPAIN)","duke-seeds-bank-spain"," AZ","Flower, ",
"452","Dunlevie","dunlevie"," AZ","Vapes, ",
"453","Dutch Brothers Farms","dutch-brothers-farms"," WA",,
"454","Dutch Girl","dutch-girl"," CO","Flower, Edibles, ",
"455","Dutch Passion Seed Company (NETHERLANDS)","dutch-passion-seed-company-netherlands"," CO",,
"456","Dutchie","dutchie"," CO",,
"457","Dying Breed Seeds","dying-breed-seeds"," CO","Flower, ",
"458","Dynasty Genetics","dynasty-genetics"," CO","Flower, ",
"459","E&M Medicals","e-m-medicals"," CO","Concentrates, Medical, ",
"460","Eagle by Dr. Robb","eagle-by-dr-robb"," CA",,
"461","Eagle Packs","eagle-packs"," CA","Flower, ",
"462","Earth Dragon Organics (CANADA)","earth-dragon-organics-canada"," BC","Medical, ",
"463","Earth Extracts","earth-extracts"," BC","Concentrates, Vape Pens, ",
"464","Earth Milk","earth-milk"," CA","Medical, ",
"465","Earth Science Tech","earth-science-tech"," CA","Medical, ",
"466","EARTH STRONG","earth-strong"," CA","Flower, ",
"467","East Coast Gold","east-coast-gold"," CA","Concentrates, ",
"468","East Fork Cultivars","east-fork-cultivars"," OR","Flower, ",
"469","Eatmygreens","eatmygreens"," CA","Edibles, ",
"470","ebbuâ„¢ llc","ebbu-llc"," CO","Vapes, ",
"471","Eco","eco"," CO","Flower, Concentrates, ",
"472","ECO Vape","eco-vape"," CO","Vapes, Batteries, ",
"473","ecopen","ecopen"," MI","Vapes, ",
"474","Eden Medicinal Society (CANADA)","eden-medicinal-society-canada"," MI","Concentrates, ",
"475","Edible Factory","edible-factory"," MI","Edibles, ",
"476","Edibles by E","edibles-by-e"," MI",,
"477","EdiPure","edipure"," CA","Edibles, ",
"478","Elements","elements"," CA","Flower, Concentrates, ",
"479","Elephant Extracts","elephant-extracts"," CA","Concentrates, ",
"480","Elevate Herbals","elevate-herbals"," CA",,
"481","Elevated Group Extracts","elevated-group-extracts"," CA","Flower, Concentrates, Vape Pens, Medical, ",
"482","Elevation VIP","elevation-vip"," CA","Edibles, ",
"483","Elevators Premium Pre Rolls","elevators-premium-pre-rolls"," CA","Flower, ",
"484","Elicit Labs","elicit-labs"," CA","Concentrates, ",
"485","Ã‰lite Seeds (SPAIN)","elite-seeds-spain"," CA","Flower, ",
"486","ELIXICURE","elixicure"," CA",,
"487","Elixinol","elixinol"," MI","Concentrates, Edibles, ",
"488","ELIXR","elixr"," MI",,
"489","Emerald City Cultivation","emerald-city-cultivation"," MI","Flower, Concentrates, Vape Pens, ",
"490","Emerald Family Farms","emerald-family-farms"," CA","Flower, ",
"491","Emerald Farms","emerald-farms"," California","Concentrates, Vape Pens, Medical, ",
"492","Emerald Fields Cannabis","emerald-fields-cannabis"," California",,
"493","Emerald Orchards","emerald-orchards"," California","Flower, ",
"494","Emerald Triangle Buds","emerald-triangle-buds"," California","Flower, ",
"495","Empower","empower"," Oregon","Medical, ",
"496","Endocanna Concentrates","endocanna-concentrates"," Colorado","Concentrates, ",
"497","Endohack Labs","endohack-labs"," Colorado","Medical, ",
"498","Enjoyable Edibles","enjoyable-edibles"," CA",,
"499","EPC Experience Premium Cannabis","epc-experience-premium-cannabis"," NV",,
"500","Epic Edibles","epic-edibles"," NV","Concentrates, Edibles, ",
"501","Epic Extracts","epic-extracts"," CA",,
"502","Epiphany Hour","epiphany-hour"," CA","Medical, ",
"503","Ermont Inc","ermont-inc"," CA","Vapes, Edibles, ",
"504","Errluminati","errluminati"," CA","Concentrates, ",
"505","Essences of Life","essences-of-life"," CA","Medical, ",
"506","Essential CBD","essential-cbd"," MI","Concentrates, Vape Pens, Medical, ",
"507","Essential Extracts","essential-extracts"," CO","Concentrates, ",
"508","Ethno Botanica","ethno-botanica"," CO","Flower, ",
"509","Eudaimonia Co.","eudaimonia-co"," California","Edibles, ",
"510","Eugene Weed Works","eugene-weed-works"," California","Flower, ",
"511","Eureka Vapor","eureka-vapor"," CA","Concentrates, Vape Pens, Batteries, ",
"512","Eva Seeds (SPAIN)","eva-seeds-spain"," CA","Flower, ",
"513","EvaGreen Farms","evagreen-farms"," CA",,
"514","Everest Live Resin","everest-live-resin"," CA","Edibles, ",
"515","Evergreen Edibles","evergreen-edibles"," CA","Edibles, ",
"516","Evergreen Herbal","evergreen-herbal"," Wa","Concentrates, Edibles, ",
"517","Evergreen Organix","evergreen-organix"," Nv","Flower, Concentrates, Vape Pens, Edibles, Medical, ",
"518","Evolab","evolab"," CO","Concentrates, Vape Pens CBD, Vape Pens, Medical, ",
"519","EVOLVD","evolvd"," Oregon","Vapes, ",
"520","Evoxe Laboratories","evoxe-laboratories"," CA","Vapes, ",
"521","Exclusive Seeds Bank (SPAIN)","exclusive-seeds-bank-spain"," CA","Flower, ",
"522","Executive Crud","executive-crud"," CA","Flower, ",
"523","Exotic California Concentrates","exotic-california-concentrates"," CA","Concentrates, ",
"524","Exotic Chronics","exotic-chronics"," CA","Flower, ",
"525","Exotic Genetix","exotic-genetix"," CA","Flower, ",
"526","Exotic Seeds","exotic-seeds"," CA","Flower, ",
"527","Expert Seed (UK)","expert-seed-uk"," CA","Flower, ",
"528","Extraction 710","extraction-710"," CA","Featured, Flower, Concentrates, ",
"529","Extractioneering","extractioneering"," CA","Concentrates, ",
"530","Eye Candy Edibles","eye-candy-edibles"," CA","Edibles, ",
"531","Eyebake Medibles (CANADA)","eyebake-medibles-canada"," ON","Edibles, ",
"532","Fairwinds Manufacturing","fairwinds-manufacturing"," WA","Edibles, Medical, ",
"533","Family Strong Farms","family-strong-farms"," WA",,
"534","Family Treez Concentrates","family-treez-concentrates"," WA","Edibles, ",
"535","Famous Genetics","famous-genetics"," WA","Flower, Concentrates, ",
"536","Farm Caramels","farm-caramels"," CA","Edibles, ",
"537","Farm to Fire","farm-to-fire"," CA",,
"538","Fastbuds American Autoflowers (SPAIN)","fastbuds-american-autoflowers-spain"," CA",,
"539","Feminized Seeds","feminized-seeds"," CA","Flower, ",
"540","Fire Farms","fire-farms"," CA","Flower, ",
"541","Fire Meds","fire-meds"," CA","Flower, Edibles, ",
"542","Firebars (CANADA)","firebars-canada"," ON","Edibles, ",
"543","Firebird","firebird"," ON","Flower, ",
"544","Firebrand Infusions","firebrand-infusions"," AZ","Flower, Concentrates, Edibles, Medical, ",
"545","Firefly Fire Joints","firefly-fire-joints"," Ca","Flower, ",
"546","First Class Canna","first-class-canna"," CA","Flower, Concentrates, Vape Pens, ",
"547","First Class Concentrates","first-class-concentrates"," ca",,
"548","Five Star Extracts","five-star-extracts"," CA","Vapes, Batteries, ",
"549","FlavRX","flavrx"," CA","Concentrates, Vape Pens, Edibles, Medical, Batteries, ",
"550","Flawless Extracts","flawless-extracts"," ON","Concentrates, ",
"551","FLiCKS","flicks"," ON","Flower, ",
"552","Flight Brands","flight-brands"," CA","Concentrates, ",
"553","FLIGHT FARMS","flight-farms"," CA","Vapes, Batteries, ",
"554","FLORACAL FARMS","floracal-farms"," CA","Flower, ",
"555","Flow Kana","flow-kana"," Ca","Flower, ",
"556","Flower By Flowers","flower-by-flowers"," Ca","Flower, ",
"557","Flower of Life CBD","flower-of-life-cbd"," CA","Vapes, Edibles, Batteries, ",
"558","Flower Power","flower-power"," CA","Medical, ",
"559","Flurish Group","flurish-group"," CA","Edibles, ",
"560","FlyNHigh Extracts","flynhigh-extracts"," CALIFORNIA",,
"561","Flyte Concentrates (CANADA)","flyte-concentrates-canada"," BC","Concentrates, Vape Pens, ",
"562","Forbidden Leaf","forbidden-leaf"," BC","Accessories, Medical, Apparel, ",
"563","Foreign Genetics","foreign-genetics"," BC","Flower, ",
"564","Forest Nymph Botanicals","forest-nymph-botanicals"," Ca","Medical, ",
"565","Forever Phoenix (CANADA)","forever-phoenix-canada"," BC","Concentrates, Medical, Apparel, ",
"566","FORIA","foria"," CA","Medical, ",
"567","Four County Farms","four-county-farms"," CA",,
"568","Fox Hollow Flora","fox-hollow-flora"," Oregon","Flower, ",
"569","FrankWax","frankwax"," Oregon","Concentrates, ",
"570","Free Soul Seeds (SPAIN)","free-soul-seeds-spain"," Oregon","Flower, ",
"571","Freeman Farms","freeman-farms"," Oregon",,
"572","Fregrowli","fregrowli"," MI","Flower, Concentrates, Edibles, ",
"573","French Dab","french-dab"," MI","Edibles, ",
"574","French Laundry Hash","french-laundry-hash"," CA","Concentrates, ",
"575","French Touch Seeds (SPAIN)","french-touch-seeds-spain"," CA",,
"576","Fresh Off The Bud","fresh-off-the-bud"," Ca","Concentrates, Vape Pens, Medical, ",
"577","Fresh Weed","fresh-weed"," Ca","Flower, ",
"578","Fried Extracts","fried-extracts"," CA",,
"579","Froggie Farm Nursery","froggie-farm-nursery"," CA","Flower, ",
"580","From The Soil","from-the-soil"," WA","Flower, Concentrates, ",
"581","Frontier Farms","frontier-farms"," WA","Flower, ",
"582","Frosted Flowers","frosted-flowers"," CA",,
"583","FRSH","frsh"," CA",,
"584","FRUIT SLABS","fruit-slabs"," CA","Edibles, ",
"585","Fuller Life Remedies","fuller-life-remedies"," CA","Edibles, Medical, ",
"586","Fullerton Family Farms","fullerton-family-farms"," CA","Flower, Concentrates, Medical, ",
"587","Fully Activated","fully-activated"," CA","Edibles, Medical, ",
"588","Fully Baked Gourmet Cannabis Ice Cream","fully-baked-gourmet-cannabis-ice-cream"," CA",,
"589","Funky Extracts","funky-extracts"," MI","Concentrates, Edibles, Medical, ",
"590","Funky Farms","funky-farms"," MI",,
"591","Gage Green Group","gage-green-group"," MI","Flower, ",
"592","Galactic  Gardens","galactic-gardens"," MI","Edibles, ",
"593","Ganja Chica","ganja-chica"," CA",,
"594","Ganja Cones","ganja-cones"," CA","Flower, ",
"595","Ganja Eats","ganja-eats"," CA","Edibles, ",
"596","Ganja Farm (SPAIN)","ganja-farm-spain"," CA","Edibles, Medical, ",
"597","Ganja Gold","ganja-gold"," CA","Flower, Concentrates, ",
"598","Ganja Grindz Coffee Company","ganja-grindz-coffee-company"," CA",,
"599","Ganja Wallah","ganja-wallah"," CA","Edibles, ",
"600","Ganjalato","ganjalato"," CA",,
"601","Garden of Green Seedbank (UK)","garden-of-green-seedbank-uk"," CA","Flower, ",
"602","Garden Of Weedn","garden-of-weedn"," CA","Flower, ",
"603","Garden of Zen Clones","garden-of-zen-clones"," CA",,
"604","Garden Path Organics","garden-path-organics"," CA","Flower, ",
"605","Gardens Ablaze Seeds","gardens-ablaze-seeds"," CA","Flower, ",
"606","Garrison Lane","garrison-lane"," CA","Flower, ",
"607","Gas Station Extractions","gas-station-extractions"," CA","Concentrates, Vape Pens, ",
"608","Gasman Extracts","gasman-extracts"," CA","Concentrates, ",
"609","Gastown (CANADA)","gastown-canada"," AB","Flower, Concentrates, Vape Pens, ",
"610","Gea Seeds (SPAIN)","gea-seeds-spain"," AB","Flower, ",
"611","Geek Farms","geek-farms"," Oregon","Flower, ",
"612","Gemstonz","gemstonz"," CA","Edibles, Medical, ",
"613","Gen X","gen-x"," CA","Concentrates, Vape Pens, Batteries, ",
"614","Genehtik (SPAIN)","genehtik-spain"," CA","Flower, ",
"615","Geneseeds Bank (SPAIN)","geneseeds-bank-spain"," CA","Flower, ",
"616","Genesis Pharms","genesis-pharms"," OR","Flower, Edibles, ",
"617","Genetics Providers Co-Op Inc.","genetics-providers-co-op-inc"," OR","Flower, ",
"618","George Waxhington","george-waxhington"," MI","Concentrates, Vape Pens, Medical, ",
"619","Get Hemp Butter","get-hemp-butter"," MI",,
"620","GfarmaLabs","gfarmalabs"," CA","Flower, Concentrates, Vape Pens, Edibles, ",
"621","Ghost Grow","ghost-grow"," CA",,
"622","Ghost SHO","ghost-sho"," MI","Flower, Concentrates, ",
"623","Giddy Up Extracts","giddy-up-extracts"," NV","Concentrates, ",
"624","Ginger Ganja Group Corp. (CANADA)","ginger-ganja-group-corp-canada"," NV","Flower, ",
"625","Glacial Gold Premium Extracts (CANADA)","glacial-gold-premium-extracts-canada"," NS","Concentrates, Edibles, Medical, ",
"626","Glass God Extracts","glass-god-extracts"," NS","Concentrates, Vape Pens, ",
"627","Glasshouse Extracts","glasshouse-extracts"," NS","Concentrates, ",
"628","Global CBD","global-cbd"," NS","Medical, ",
"629","Global Genetics","global-genetics"," CA","Flower, ",
"630","Globville Mining Co.","globville-mining-co"," CA","Concentrates, ",
"631","Gold Nugget Extracts","gold-nugget-extracts"," CA","Concentrates, ",
"632","Gold Seal SF","gold-seal-sf"," Ca","Flower, ",
"633","Gold Standard Vapes","gold-standard-vapes"," Ca",,
"634","Golden Barn","golden-barn"," CO","Concentrates, Vape Pens, Medical, Batteries, ",
"635","Golden Brandsâ„¢","golden-brands"," CO","Vapes, ",
"636","Golden Gateway","golden-gateway"," CO","Flower, ",
"637","Golden Goddess Botanicals","golden-goddess-botanicals"," CA",,
"638","Golden Grizzly California","golden-grizzly-california"," CA",,
"639","Golden State Banana","golden-state-banana"," CA","Flower, Concentrates, ",
"640","Golden State Cultivators","golden-state-cultivators"," CA","Flower, ",
"641","Golden State Labs","golden-state-labs"," CA","Concentrates, ",
"642","GoldStract","goldstract"," CA",,
"643","Good Life","good-life"," CA","Flower, Edibles, ",
"644","Good Life Vapes","good-life-vapes"," CA","Vapes, Medical, ",
"645","Good Ol Boys Farms","good-ol-boys-farms"," CA","Flower, ",
"646","Good Tree","good-tree"," CA",,
"647","Goodies by MaGooch","goodies-by-magooch"," CA","Edibles, ",
"648","Gooey Man","gooey-man"," CA","Edibles, ",
"649","Gorilla Glue #1 #4 #5 Strains","gorilla-glue-1-4-5-strains"," CA","Flower, ",
"650","Got Chilled","got-chilled"," MI",,
"651","Gourmet Budhead Edibles & Drinkables","gourmet-budhead-edibles-drinkables"," CA",,
"652","Grass O Matic","grass-o-matic"," CA","Flower, ",
"653","Grass Valley Orchards","grass-valley-orchards"," CA",,
"654","Gravity Thieves","gravity-thieves"," Washington","Concentrates, ",
"655","Green Acres Pharm","green-acres-pharm"," WA",,
"656","Green Apples","green-apples"," CA","Flower, ",
"657","Green Bodhi","green-bodhi"," CA",,
"658","Green Common Sense (SPAIN)","green-common-sense-spain"," CA","Flower, ",
"659","Green Cross Brands","green-cross-brands"," CA","Edibles, ",
"660","Green Degree","green-degree"," CA","Flower, ",
"661","Green Dot Labs","green-dot-labs"," CO","Concentrates, ",
"662","Green Dragon Extracts","green-dragon-extracts"," OR","Vapes, ",
"663","Green Gadget","green-gadget"," OR","Flower, Concentrates, ",
"664","Green Garden Gold","green-garden-gold"," MI","Edibles, Medical, ",
"665","Green Hope Clones","green-hope-clones"," MI","Flower, ",
"666","Green House Seed Co. (NETHERLANDS)","green-house-seed-co-netherlands"," MI",,
"667","Green Island Naturals (CANADA)","green-island-naturals-canada"," NS","Vapes, Medical, ",
"668","Green Kings","green-kings"," CA","Vapes, Apparel, ",
"669","Green Rush Goodies","green-rush-goodies"," CA","Edibles, ",
"670","Green Ticket Bakery","green-ticket-bakery"," CA","Edibles, ",
"671","Green Torpedo","green-torpedo"," CA","Concentrates, ",
"672","Green Trees","green-trees"," CA","Concentrates, Edibles, ",
"673","GreenGo Extracts, Inc","greengo-extracts-inc"," CA","Concentrates, Vape Pens, ",
"674","Greenhill Goodies","greenhill-goodies"," CA","Edibles, ",
"675","GreenLyfe","greenlyfe"," CA","Concentrates, ",
"676","Greensticks","greensticks"," CA","Concentrates, ",
"677","Greenthumb Danny","greenthumb-danny"," CA","Concentrates, ",
"678","GreenWave Phytomedications","greenwave-phytomedications"," CA","Vapes, Batteries, ",
"679","Greenway Medibles","greenway-medibles"," CA","Edibles, Medical, ",
"680","Grizzly Peak Farms","grizzly-peak-farms"," CA","Flower, ",
"681","GrÃ¶n","gron"," Oregon","Edibles, ",
"682","GROW OPS","grow-ops"," Oregon","Flower, Concentrates, ",
"683","Grow Your Own (NETHERLANDS)","grow-your-own-netherlands"," Oregon",,
"684","Growers Choice Seeds","growers-choice-seeds"," CA","Flower, ",
"685","Growing Famous Strains","growing-famous-strains"," CA","Flower, ",
"686","GrowMeds Clones","growmeds-clones"," CA",,
"687","Guild Extracts","guild-extracts"," CA",,
"688","Guilty Pleasures by Millie LLC","guilty-pleasures-by-millie-llc"," MI","Edibles, ",
"689","Gummi Cares","gummi-cares"," CA",,
"690","Habit Sparkling Beverage","habit-sparkling-beverage"," CA","Concentrates, Vape Pens, Edibles, Medical, ",
"691","Haggard Extracts","haggard-extracts"," CA",,
"692","Half Baked","half-baked"," CA","Edibles, ",
"693","HalfLit","halflit"," CA","Edibles, ",
"694","HÃ¤lsa Topicals","halsa-topicals"," CA",,
"695","Happy Buddha Holistics","happy-buddha-holistics"," CA","Edibles, ",
"696","Happy Face Brand (CANADA)","happy-face-brand-canada"," BC","Vapes, ",
"697","Happy Fish Edibles","happy-fish-edibles"," BC","Edibles, ",
"698","Happy Frog Extracts","happy-frog-extracts"," CA","Concentrates, ",
"699","HAPPY KIND","happy-kind"," Ca","Flower, Concentrates, Edibles, ",
"700","Happy Seed Edibles","happy-seed-edibles"," Ca","Edibles, Medical, ",
"701","Harmony Extracts","harmony-extracts"," CO","Concentrates, ",
"702","Hash Boyz","hash-boyz"," CO","Concentrates, ",
"703","Hashman Infused","hashman-infused"," CA",,
"704","HD Extracts","hd-extracts"," CA","Concentrates, ",
"705","Head On","head-on"," CA","Flower, Edibles, ",
"706","Head Stash Horticulture","head-stash-horticulture"," Oregon","Flower, ",
"707","Headstash MMJ (CANADA)","headstash-mmj-canada"," AB","Concentrates, Edibles, ",
"708","Heady Heads","heady-heads"," AB","Concentrates, ",
"709","Healthy Creation Edibles","healthy-creation-edibles"," CO",,
"710","Heartland Industries","heartland-industries"," CO","Featured, Flower, Concentrates, Seeds & Clones, ",
"711","Heavenly Sweet","heavenly-sweet"," CA","Edibles, ",
"712","Heavy Edibles","heavy-edibles"," CA","Edibles, ",
"713","Heavy Hitters","heavy-hitters"," CA","Concentrates, Vape Pens, Batteries, ",
"714","HEISENBERG EXTRACTS","heisenberg-extracts"," CA","Concentrates, ",
"715","Helibo","helibo"," CA","Vapes, ",
"716","Hemp Doctors USA","hemp-doctors-usa"," CA",,
"717","Hemp Fields Farm","hemp-fields-farm"," CA","Edibles, ",
"718","HempBrothers (SPAIN)","hempbrothers-spain"," CA","Flower, ",
"719","HempMed CBD (CANADA)","hempmed-cbd-canada"," NS","Concentrates, Edibles, Medical, ",
"720","HempMeds","hempmeds"," NS","Concentrates, Medical, ",
"721","Hempture (UK)","hempture-uk"," NS","Concentrates, Medical, ",
"722","Herb Angels (CANADA)","herb-angels-canada"," NS","Concentrates, Edibles, Medical, ",
"723","Herbalistic Farms","herbalistic-farms"," NS","Flower, ",
"724","Herbalogics","herbalogics"," NS",,
"725","Herban Legends","herban-legends"," NS","Flower, ",
"726","HerbinArtisans","herbinartisans"," NS",,
"727","HESHIES","heshies"," CA","Flower, ",
"728","HG Chug","hg-chug"," Ca",,
"729","HGH Extractions","hgh-extractions"," CA","Concentrates, Apparel, ",
"730","HGH Green Country Delights","hgh-green-country-delights"," CA","Edibles, ",
"731","HI Guys","hi-guys"," CA","Concentrates, ",
"732","Hi-Honey","hi-honey"," CA","Concentrates, ",
"733","HI-NESS","hi-ness"," CA","Edibles, ",
"734","Hi-Pops","hi-pops"," CA","Edibles, ",
"735","Hi-Rez Industries","hi-rez-industries"," CA","Concentrates, ",
"736","HIFI Chocolates","hifi-chocolates"," CA","Edibles, ",
"737","Hifi Farms","hifi-farms"," CA","Flower, ",
"738","High Balls","high-balls"," CA","Edibles, ",
"739","High Breed","high-breed"," CA","Concentrates, ",
"740","High Class Honey","high-class-honey"," CA","Concentrates, ",
"741","High Desert Pure","high-desert-pure"," Oregon","Concentrates, ",
"742","High Gorgeous","high-gorgeous"," CA",,
"743","High Leaf Extracts","high-leaf-extracts"," CA","Concentrates, ",
"744","High Standard","high-standard"," CA","Flower, Concentrates, ",
"745","High Tech Concentrates","high-tech-concentrates"," CO","Concentrates, Vape Pens, ",
"746","High Tech Connect","high-tech-connect"," CO","Concentrates, ",
"747","High Voltage Rolls","high-voltage-rolls"," CA",,
"748","Higher Class Genetics","higher-class-genetics"," CA","Flower, ",
"749","Higher Elevation Finest Medicinals","higher-elevation-finest-medicinals"," CA","Concentrates, ",
"750","Higher Power Potions","higher-power-potions"," MI",,
"751","Higher Society","higher-society"," MI","Concentrates, ",
"752","Highlife Bud & Extracts","highlife-bud-extracts"," MI","Flower, Concentrates, ",
"753","Highly Edible","highly-edible"," Colorado","Edibles, ",
"754","HighZenBear Extracts","highzenbear-extracts"," CA","Concentrates, Vape Pens, ",
"755","Highznbudz","highznbudz"," CA","Flower, ",
"756","Hillside Pharms","hillside-pharms"," CA","Flower, Concentrates, ",
"757","HIMALAYA","himalaya"," CA",,
"758","HiNaturals","hinaturals"," CA",,
"759","Hippie Butter","hippie-butter"," CA","Edibles, Medical, Apparel, ",
"760","Hippo Treats","hippo-treats"," CA","Flower, Edibles, ",
"761","Hitman Farms","hitman-farms"," CA","Concentrates, ",
"762","Hive Medicated Honey","hive-medicated-honey"," Oregon","Concentrates, Edibles, ",
"763","hmbldt","hmbldt"," California","Vapes, ",
"764","Hollyweed Clones Inc.","hollyweed-clones-inc"," California","Flower, ",
"765","Holy Grail Hemp and CBD","holy-grail-hemp-and-cbd"," CA","Concentrates, Edibles, Medical, ",
"766","Holy Water Extracts","holy-water-extracts"," CA","Concentrates, ",
"767","HomeGrown Natural Wonders","homegrown-natural-wonders"," OR","Flower, ",
"768","Honey & Venom","honey-venom"," OR","Edibles, ",
"769","Honey Badger Extracts (CANADA)","honey-badger-extracts-canada"," ON","Concentrates, ",
"770","Honey Daze","honey-daze"," ON",,
"771","Honey Oil","honey-oil"," CA","Concentrates, Vape Pens, Edibles, Batteries, ",
"772","Honey Pot","honey-pot"," CA","Edibles, Medical, ",
"773","Honey Tree Medicinal","honey-tree-medicinal"," California","Concentrates, Medical, ",
"774","Honey Vape","honey-vape"," CA","Concentrates, Vape Pens, Medical, ",
"775","Honey-Fire Extracts","honey-fire-extracts"," CA","Concentrates, ",
"776","HoneyBeeBuzzed","honeybeebuzzed"," CA","Edibles, ",
"777","Honeycomb Extracts (SPAIN)","honeycomb-extracts-spain"," CA","Concentrates, ",
"778","Honu","honu"," Wa","Flower, Vape Pens, Edibles, Medical, ",
"779","Hood River Extracts","hood-river-extracts"," Wa","Flower, Concentrates, ",
"780","HorsEjuice","horsejuice"," Wa","Edibles, ",
"781","Hot Nife","hot-nife"," CA","Vapes, ",
"782","Hot Sugar!","hot-sugar"," Wa","Edibles, ",
"783","House of Clones","house-of-clones"," CA","Flower, ",
"784","House of Loud","house-of-loud"," CA","Concentrates, ",
"785","Humble Flower Co.","humble-flower-co"," CA","Medical, ",
"786","Humboldt AF Cannabis","humboldt-af-cannabis"," CA","Flower, Concentrates, ",
"787","Humboldt Apothecary","humboldt-apothecary"," CA","Edibles, ",
"788","Humboldt Crudeâ„¢","humboldt-crude"," CA","Vapes, ",
"789","Humboldt Harvest","humboldt-harvest"," CA","Edibles, ",
"790","Humboldt Marijuana Co","humboldt-marijuana-co"," CA","Concentrates, Medical, ",
"791","Humboldt Pure","humboldt-pure"," CA","Flower, Concentrates, ",
"792","Humboldt Seed Organization (SPAIN)","humboldt-seed-organization-spain"," CA","Flower, ",
"793","Hurricane Rolls","hurricane-rolls"," CA",,
"794","Huxton","huxton"," AZ",,
"795","Hype Concentrates","hype-concentrates"," MI","Concentrates, Edibles, Medical, ",
"796","Hyperfly Labs","hyperfly-labs"," MI","Medical, ",
"797","i502 Cannabisâ„¢","i502-cannabis"," MI",,
"798","Iced Out Extracts","iced-out-extracts"," MI","Concentrates, ",
"799","IceTeaHC (CANADA)","iceteahc-canada"," MI",,
"800","IceWaterOC","icewateroc"," MI","Concentrates, ",
"801","iLava","ilava"," MI",,
"802","Illuminati Medicinals","illuminati-medicinals"," Michigan","Flower, ",
"803","Illuminatus","illuminatus"," CA","Flower, ",
"804","Imbue Botanicals, LLC","imbue-botanicals-llc"," CA","Edibles, ",
"805","Imperial Extracts","imperial-extracts"," California","Concentrates, ",
"806","Imperial Genetics","imperial-genetics"," California","Flower, ",
"807","Imperial Trading Co.","imperial-trading-co"," Oregon",,
"808","In House Genetics","in-house-genetics"," Oregon","Flower, ",
"809","Incog Wellness Group","incog-wellness-group"," CA","Concentrates, Edibles, ",
"810","Incredible Edible Alternatives","incredible-edible-alternatives"," CALIFORNIA","Edibles, ",
"811","Incredible Edible Treats","incredible-edible-treats"," CALIFORNIA",,
"812","Incredibles","incredibles"," Co",,
"813","INDVR","indvr"," Co",,
"814","Infamous Genetics","infamous-genetics"," CA","Flower, ",
"815","Infinite Extracts","infinite-extracts"," CA","Shatter, Concentrates, ",
"816","Infused Creations","infused-creations"," Ca","Edibles, ",
"817","Infyniti Grown","infyniti-grown"," Ca","Flower, ",
"818","Innovative CBD","innovative-cbd"," CA","Concentrates, Medical, ",
"819","Insanity Strains","insanity-strains"," CA",,
"820","InSpirit Hemp","inspirit-hemp"," CA","Medical, ",
"821","Interstate Cannabinoids 710","interstate-cannabinoids-710"," CA","Vapes, ",
"822","Invisidab by Berner","invisidab-by-berner"," CA","Edibles, ",
